Game,Genre
Destiny 2,"FPS,Shooter,RPG,Adventure Game,MMO"
FIFA 18,Sports Game
Warframe,"Shooter,Action,RPG,Adventure Game"
South Park: The Fractured But Whole,"RPG,Strategy,Action,Adventure Game"
The Evil Within 2,"Shooter,Horror,RPG,Adventure Game,Action"
Cuphead,"Action,Platformer,Indie Game,Arcade,Adventure Game"
Middle-earth: Shadow of War,"Action,Open World,Adventure Game,RPG"
Twitch Presents,
Call of Duty: WWII,"FPS,Shooter,Action"
Getting Over It with Bennett Foddy,"Indie Game,Action,Platformer"
Super Mario Odyssey,"Platformer,Adventure Game,Action,Open World"
They Are Billions,"RTS,Strategy,Simulation,Indie Game,Survival"
Sea of Thieves,"Action,Adventure Game,Open World"
Monster Hunter: World,"Action,RPG,Adventure Game"
Escape From Tarkov,"Simulation,FPS,Shooter,RPG,MMO"
Slay the Spire,"Strategy,Simulation,Indie Game,RPG,Adventure Game"
VRChat,"Simulation,Adventure Game,MMO"
Subnautica,"Adventure Game,Open World,Survival,Indie Game"
Kingdom Come: Deliverance,"RPG,Action,Open World,Adventure Game,Stealth"
Far Cry 5,"FPS,Shooter,Open World,Adventure Game,Action"
A Way Out,"Action,Adventure Game,Indie Game"
God of War,"Action,Adventure Game"
Welcome to the Game II,"Simulation,Strategy,Indie Game"
Detroit: Become Human,"Adventure Game,Puzzle,Mystery,Action"
Dark Souls,"RPG,Action,Horror,Survival,Adventure Game"
E3 2018,
Realm Royale,"Action,Shooter,FPS"
Jurassic World Evolution,"Strategy,Simulation"
SCUM,"Adventure Game,Indie Game,MMO,Action,Survival"
Call of Duty: Black Ops 4,"FPS,Shooter,Action"
Marvel's Spider-Man,"Action,Open World,Adventure Game,Stealth"
FIFA 19,Sports Game
Always On,
Just Chatting,Just Chatting
Red Dead Redemption 2,"Action,Adventure Game,Shooter,RPG,FPS"
Casino,"Simulation,Strategy"
Assassin's Creed: Odyssey,"Action,Adventure Game,RPG,Stealth"
Magic: The Gathering,"Card & Board Game,Game Overlay Strategy"
"Pok<U+00E9>mon: Let's Go, Pikachu!","RPG,Adventure Game"
Fallout 76,"RPG,Shooter,Survival,FPS,Action"
LOST ARK,"RPG,Action,MMO,Adventure Game"
Super Smash Bros. Ultimate,"Fighting,Action"
Atlas,"RPG,Adventure Game,MMO,Action"
Resident Evil 2,"Action,Horror,Adventure Game,Shooter,Survival"
Apex Legends,"FPS,Shooter,Action"
Anthem,"Action,RPG,Shooter,Adventure Game"
Old School RuneScape,"RPG,MMO,Open World,Adventure Game"
Metro Exodus,"FPS,Shooter,Adventure Game,Action,Horror"
Sekiro: Shadows Die Twice,"Action,Adventure Game,Stealth"
Tom Clancy's The Division 2,"Shooter,Open World,MMO,Action"
Auto Chess,"Strategy,Card & Board Game"
Mortal Kombat 11,"Fighting,Action"
Slots,Gambling Game
MORDHAU,"Fighting,Indie Game,Action"
Teamfight Tactics,"Strategy,Card & Board Game"
Special Events,IRL
Super Mario Maker 2,"Platformer,Action"
Remnant: From the Ashes,"Action,Shooter,RPG"
Rust,"Adventure Game,Shooter,FPS,RPG,Indie Game"
FIFA 20,Sports Game
Borderlands 3,"FPS,Shooter,Action,Open World"
Call of Duty: Warzone,"FPS,Shooter"
Legends of Runeterra,"Card & Board Game,Strategy"
Pok<U+00E9>mon Sword/Shield,"RPG,Adventure Game,Open World"
Death Stranding,"Adventure Game,Action,Stealth,Open World,Shooter"
Star Wars Jedi: Fallen Order,"Action,Adventure Game"
DRAGON BALL Z: KAKAROT,"Action,RPG,Adventure Game"
Wolcen: Lords of Mayhem,"RPG,Action,Horror,Adventure Game,Indie Game"
Animal Crossing: New Horizons,Simulation
VALORANT,"Shooter,FPS"
Final Fantasy VII Remake,"Action,RPG,Adventure Game"
Resident Evil 3,"Shooter,Adventure Game,Horror,Survival,Action"
The Last of Us Part II,"Shooter,Action,Horror,Survival,Adventure Game"
Ghost of Tsushima,"Action,Adventure Game,Open World,Stealth"
Hyper Scape,"FPS,Shooter"
Fall Guys: Ultimate Knockout,"Action,Platformer,Indie Game,Sports Game,Adventure Game"
Among Us,"Strategy,Survival,Indie Game,Action,Stealth"
NBA 2K21,"Sports Game,Simulation"
FIFA 21,"Sports Game,Simulation"
Phasmophobia,"Puzzle,Horror,Action,Indie Game"
Genshin Impact,"Action,RPG,Open World"
Call of Duty: Black Ops Cold War,"FPS,Shooter,Action"
Assassin's Creed Valhalla,"Adventure Game,Action,Open World"
Demon's Souls,"RPG,Action,Horror,Open World,Adventure Game"
Cyberpunk 2077,"RPG,Open World,Action"
Valheim,"Action,Adventure Game,Indie Game,RPG,Survival"
Chess,"Strategy,Action"
Escape from Tarkov,"Simulation,FPS,Shooter,RPG,MMO"
Resident Evil Village,"Horror,Action,Adventure Game,FPS,Shooter"
Sports,IRL
New World,"RPG,Adventure Game,MMO,Action,Open World"
Final Fantasy XIV Online,"RPG,Strategy,Adventure Game,MMO,Open World"
FIFA 22,"Simulation,Sports Game,Action"
Diablo II: Resurrected,"RPG,Adventure Game,Action,Horror"
Back 4 Blood,"FPS,Shooter,Action,Horror,Survival"
